latitude,longitude,SPI
6.375,94.625,NaN
6.375,94.875,NaN
6.375,95.125,NaN
6.375,95.375,NaN
6.375,95.625,NaN
6.375,95.875,NaN
6.375,96.125,NaN
6.375,96.375,NaN
6.375,96.625,NaN
6.375,96.875,NaN
6.375,97.125,NaN
6.375,97.375,NaN
6.375,97.625,NaN
6.375,97.875,NaN
6.375,98.125,NaN
6.375,98.375,NaN
6.375,98.625,NaN
6.375,98.875,NaN
6.375,99.125,NaN
6.375,99.375,NaN
6.375,99.625,NaN
6.375,99.875,4.319459915
6.375,100.125,4.446569443
6.375,100.375,2.534950256
6.375,100.625,3.216522694
6.375,100.875,3.469931364
6.625,65.125,NaN
6.625,65.375,NaN
6.625,65.625,NaN
6.625,65.875,NaN
6.625,66.125,NaN
6.625,66.375,NaN
6.625,66.625,NaN
6.625,66.875,NaN
6.625,67.125,NaN
6.625,67.375,NaN
6.625,67.625,NaN
6.625,67.875,NaN
6.625,68.125,NaN
6.625,68.375,NaN
6.625,68.625,NaN
6.625,68.875,NaN
6.625,69.125,NaN
6.625,69.375,NaN
6.625,69.625,NaN
6.625,69.875,NaN
6.625,70.125,NaN
6.625,70.375,NaN
6.625,70.625,NaN
6.625,70.875,NaN
6.625,71.125,NaN
6.625,71.375,NaN
6.625,71.625,NaN
6.625,71.875,NaN
6.625,72.125,NaN
6.625,72.375,NaN
6.625,72.625,NaN
6.625,72.875,NaN
6.625,73.125,NaN
6.625,73.375,NaN
6.625,73.625,NaN
6.625,73.875,NaN
6.625,74.125,NaN
6.625,74.375,NaN
6.625,74.625,NaN
6.625,74.875,NaN
6.625,75.125,NaN
6.625,75.375,NaN
6.625,75.625,NaN
6.625,75.875,NaN
6.625,76.125,NaN
6.625,76.375,NaN
6.625,76.625,NaN
6.625,76.875,NaN
6.625,77.125,NaN
6.625,77.375,NaN
6.625,77.625,NaN
6.625,77.875,NaN
6.625,78.125,NaN
6.625,78.375,NaN
6.625,78.625,NaN
6.625,78.875,NaN
6.625,79.125,NaN
6.625,79.375,NaN
6.625,79.625,NaN
6.625,79.875,NaN
6.625,80.125,3.623616457
6.625,80.375,3.7346313
6.625,80.625,3.776902199
6.625,80.875,3.901750088
6.625,81.125,3.838480711
6.625,81.375,3.851781607
6.625,81.625,3.569182873
6.625,81.875,NaN
6.625,82.125,NaN
6.625,82.375,NaN
6.625,82.625,NaN
6.625,82.875,NaN
6.625,83.125,NaN
6.625,83.375,NaN
6.625,83.625,NaN
6.625,83.875,NaN
6.625,84.125,NaN
6.625,84.375,NaN
6.625,84.625,NaN
6.625,84.875,NaN
6.625,85.125,NaN
6.625,85.375,NaN
6.625,85.625,NaN
6.625,85.875,NaN
6.625,86.125,NaN
6.625,86.375,NaN
6.625,86.625,NaN
6.625,86.875,NaN
6.625,87.125,NaN
6.625,87.375,NaN
6.625,87.625,NaN
6.625,87.875,NaN
6.625,88.125,NaN
6.625,88.375,NaN
6.625,88.625,NaN
6.625,88.875,NaN
6.625,89.125,NaN
6.625,89.375,NaN
6.625,89.625,NaN
6.625,89.875,NaN
6.625,90.125,NaN
6.625,90.375,NaN
6.625,90.625,NaN
6.625,90.875,NaN
6.625,91.125,NaN
6.625,91.375,NaN
6.625,91.625,NaN
6.625,91.875,NaN
6.625,92.125,NaN
6.625,92.375,NaN
6.625,92.625,NaN
6.625,92.875,NaN
6.625,93.125,NaN
6.625,93.375,NaN
6.625,93.625,NaN
6.625,93.875,NaN
6.625,94.125,NaN
6.625,94.375,NaN
6.625,94.625,NaN
6.625,94.875,NaN
6.625,95.125,NaN
6.625,95.375,NaN
6.625,95.625,NaN
6.625,95.875,NaN
6.625,96.125,NaN
6.625,96.375,NaN
6.625,96.625,NaN
6.625,96.875,NaN
6.625,97.125,NaN
6.625,97.375,NaN
6.625,97.625,NaN
6.625,97.875,NaN
6.625,98.125,NaN
6.625,98.375,NaN
6.625,98.625,NaN
6.625,98.875,NaN
6.625,99.125,NaN
6.625,99.375,NaN
6.625,99.625,NaN
6.625,99.875,4.702920437
6.625,100.125,3.770437002
6.625,100.375,3.001985073
6.625,100.625,3.397900105
6.625,100.875,3.546006441
6.875,65.125,NaN
6.875,65.375,NaN
6.875,65.625,NaN
6.875,65.875,NaN
6.875,66.125,NaN
6.875,66.375,NaN
6.875,66.625,NaN
6.875,66.875,NaN
6.875,67.125,NaN
6.875,67.375,NaN
6.875,67.625,NaN
6.875,67.875,NaN
6.875,68.125,NaN
6.875,68.375,NaN
6.875,68.625,NaN
6.875,68.875,NaN
6.875,69.125,NaN
6.875,69.375,NaN
6.875,69.625,NaN
6.875,69.875,NaN
6.875,70.125,NaN
6.875,70.375,NaN
6.875,70.625,NaN
6.875,70.875,NaN
6.875,71.125,NaN
6.875,71.375,NaN
6.875,71.625,NaN
6.875,71.875,NaN
6.875,72.125,NaN
6.875,72.375,NaN
6.875,72.625,NaN
6.875,72.875,NaN
6.875,73.125,NaN
6.875,73.375,NaN
6.875,73.625,NaN
6.875,73.875,NaN
6.875,74.125,NaN
6.875,74.375,NaN
6.875,74.625,NaN
6.875,74.875,NaN
6.875,75.125,NaN
6.875,75.375,NaN
6.875,75.625,NaN
6.875,75.875,NaN
6.875,76.125,NaN
6.875,76.375,NaN
6.875,76.625,NaN
6.875,76.875,NaN
6.875,77.125,NaN
6.875,77.375,NaN
6.875,77.625,NaN
6.875,77.875,NaN
6.875,78.125,NaN
6.875,78.375,NaN
6.875,78.625,NaN
6.875,78.875,NaN
6.875,79.125,NaN
6.875,79.375,NaN
6.875,79.625,NaN
6.875,79.875,NaN
6.875,80.125,3.681316137
6.875,80.375,3.878180504
6.875,80.625,3.116717339
6.875,80.875,3.039077282
6.875,81.125,3.814217806
6.875,81.375,3.974801779
6.875,81.625,4.430923939
6.875,81.875,NaN
6.875,82.125,NaN
6.875,82.375,NaN
6.875,82.625,NaN
6.875,82.875,NaN
6.875,83.125,NaN
6.875,83.375,NaN
6.875,83.625,NaN
6.875,83.875,NaN
6.875,84.125,NaN
6.875,84.375,NaN
6.875,84.625,NaN
6.875,84.875,NaN
6.875,85.125,NaN
6.875,85.375,NaN
6.875,85.625,NaN
6.875,85.875,NaN
6.875,86.125,NaN
6.875,86.375,NaN
6.875,86.625,NaN
6.875,86.875,NaN
6.875,87.125,NaN
6.875,87.375,NaN
6.875,87.625,NaN
6.875,87.875,NaN
6.875,88.125,NaN
6.875,88.375,NaN
6.875,88.625,NaN
6.875,88.875,NaN
6.875,89.125,NaN
6.875,89.375,NaN
6.875,89.625,NaN
6.875,89.875,NaN
6.875,90.125,NaN
6.875,90.375,NaN
6.875,90.625,NaN
6.875,90.875,NaN
6.875,91.125,NaN
6.875,91.375,NaN
6.875,91.625,NaN
6.875,91.875,NaN
6.875,92.125,NaN
6.875,92.375,NaN
6.875,92.625,NaN
6.875,92.875,NaN
6.875,93.125,NaN
6.875,93.375,NaN
6.875,93.625,5.644935131
6.875,93.875,4.961242676
6.875,94.125,NaN
6.875,94.375,NaN
6.875,94.625,NaN
6.875,94.875,NaN
6.875,95.125,NaN
6.875,95.375,NaN
6.875,95.625,NaN
6.875,95.875,NaN
6.875,96.125,NaN
6.875,96.375,NaN
6.875,96.625,NaN
6.875,96.875,NaN
6.875,97.125,NaN
6.875,97.375,NaN
6.875,97.625,NaN
6.875,97.875,NaN
6.875,98.125,NaN
6.875,98.375,NaN
6.875,98.625,NaN
6.875,98.875,NaN
6.875,99.125,NaN
6.875,99.375,NaN
